thread,activation,varDict,count,lock,kind,scope,executable,line,prefix,source,package,raw
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">F>","POS => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">=>","P <= ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR","861","*-*","if p < 3 | p > 5","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","P => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">L>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">O>","""<"" => ""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","P => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">L>","""5""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">O>",""">"" => ""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">O>","""|"" => ""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR","862","*-*","Do i=1 To p-2","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">L>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","P => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">L>","""2""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">O>","""-"" => ""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">=>","I <= ""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR","863","*-*","c = string~subchar(index)","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","STRING => ""́""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","INDEX => ""2""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">A>","""2""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">M>","""SUBCHAR"" => ""�""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""�""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">=>","C <= ""�""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR","864","*-*","If c == """"","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","C => ""�""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">L>","""""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">O>","""=="" => ""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR","865","*-*","b=c~c2x~x2b","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","C => ""�""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">M>","""C2X"" => ""81""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">M>","""X2B"" => ""10000001""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""10000001""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">=>","B <= ""10000001""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR","866","*-*","if b~left(2) <> ""10""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","B => ""10000001""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">L>","""2""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">A>","""2""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">M>","""LEFT"" => ""10""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">L>","""10""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">O>","""<>"" => ""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR","867","*-*","index += 1","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","INDEX => ""2""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">L>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">O>","""+"" => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">=>","INDEX <= ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR","868","*-*","End","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR","862","*-*","Do i=1 To p-2","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""2""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR","869","*-*","End","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR","870","*-*","Return index","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","INDEX => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A42","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">M>","""GETCHAR"" => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">>>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">=>","NEXT <= ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","827","*-*","codepointIndexes~append(index)","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","CODEPOINTINDEXES => ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","INDEX => ""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">A>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">>>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","829","*-*","graphemeIndexes~append(index)","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","GRAPHEMEINDEXES => ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","INDEX => ""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">A>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">>>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","830","*-*","if next == index","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","NEXT => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","INDEX => ""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">O>","""=="" => ""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">>>","""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","831","*-*","index = next","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","NEXT => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">>>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">=>","INDEX <= ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","832","*-*","end","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","825","*-*","do forever","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","826","*-*","next = self~getchar(string, index)","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","SELF => ""The UTF_8_Encoding class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","STRING => ""́""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">A>","""́""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","INDEX => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">A>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00002",".","method","UTF_8_Encoding","GETCHAR",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR","852","*-*","use strict arg string, index","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""́""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">=>","STRING <= ""́""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">=>","INDEX <= ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR","853","*-*","c = string~subchar(index)","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","STRING => ""́""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","INDEX => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">A>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">M>","""SUBCHAR"" => """"","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">=>","C <= """"","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR","854","*-*","if c == """"","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","C => """"","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">L>","""""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">O>","""=="" => ""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR","854","*-*","then","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR","854","*-*","return index","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">V>","INDEX => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A43","V16","00003","*","method","UTF_8_Encoding","GETCHAR",".",">>>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">M>","""GETCHAR"" => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">>>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">=>","NEXT <= ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","827","*-*","codepointIndexes~append(index)","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","CODEPOINTINDEXES => ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","INDEX => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">A>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">>>","""2""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","829","*-*","graphemeIndexes~append(index)","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","GRAPHEMEINDEXES => ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","INDEX => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">A>","""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">>>","""2""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","830","*-*","if next == index","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","NEXT => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","INDEX => ""3""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">O>","""=="" => ""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">>>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","830","*-*","then","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","830","*-*","leave","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","834","*-*","codepointIndexes = codepointIndexes~makeArray","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","CODEPOINTINDEXES => ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">M>","""MAKEARRAY"" => ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">>>","""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">=>","CODEPOINTINDEXES <= ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","835","*-*","graphemeIndexes = graphemeIndexes~makeArray","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","GRAPHEMEINDEXES => ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">M>","""MAKEARRAY"" => ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">>>","""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">=>","GRAPHEMEINDEXES <= ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE","836","*-*","return self~new(string, codepointIndexes, codepointIndexes~size-1, graphemeIndexes, graphemeIndexes~size-1)","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","SELF => ""The UTF_8_Encoding class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","STRING => ""́""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">A>","""́""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","CODEPOINTINDEXES => ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">A>","""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","CODEPOINTINDEXES => ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">M>","""SIZE"" => ""2""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">L>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">O>","""-"" => ""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">A>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","GRAPHEMEINDEXES => ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">A>","""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">V>","GRAPHEMEINDEXES => ""an Array""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">M>","""SIZE"" => ""2""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">L>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
"T1","A41","V16","00002","*","method","UTF_8_Encoding","ANALYZE",".",">O>","""-"" => ""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/string.cls",".",
